fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_044,high_impact,clutch_A,6.8228110579605294,4.6320261336930235,5.539711808832584,110.38,67.48,81.97,6.8228110579605294,110.38,-2.190784924267506,-1.2830992491279458,0,0.47,0,1
zf_045,high_impact,clutch_A,5.981912165805244,4.707796975435906,3.8893217749601066,96.62,65.54,87.67,5.981912165805244,96.62,-1.2741151903693373,-2.092590390845137,1,4.64,0,1
zf_061,low_impact,clutch_B,5.80313551012578,7.24806818603856,9.022065038169107,114.83,104.9,97.46,5.80313551012578,114.83,1.4449326759127796,3.2189295280433265,1,5.55,0,0
zf_062,low_impact,clutch_B,5.487177620670945,13.821431323153819,8.147174935010463,112.08,110.26,115.76,5.487177620670945,112.08,8.334253702482874,2.6599973143395186,0,0.06,0,0
zf_063,low_impact,clutch_B,7.78436833053409,10.889439888355245,6.704305037264832,108.47,100.83,110.72,7.78436833053409,108.47,3.105071557821155,-1.0800632932692578,1,1.72,1,0
zf_064,low_impact,clutch_B,5.592911321561075,19.45785772669161,5.727936966164864,105.2,102.08,113.59,5.592911321561075,105.2,13.864946405130535,0.13502564460378963,0,1.04,0,0
zf_065,low_impact,clutch_B,4.792291031583718,6.511377086004045,2.282701350934934,113.5,93.55,114.89,4.792291031583718,113.5,1.7190860544203268,-2.5095896806487845,0,0.59,1,0
zf_066,low_impact,clutch_B,4.454541206126626,8.745832952905985,6.604314977668021,110.46,106.1,105.69,4.454541206126626,110.46,4.291291746779359,2.149773771541395,0,1.27,0,0
zf_067,low_impact,clutch_B,4.5058746924866995,10.09472505750456,5.901590024041102,124.69,96.67,116.37,4.5058746924866995,124.69,5.58885036501786,1.3957153315544026,0,0.83,0,0
zf_068,low_impact,clutch_B,8.40302268225008,12.79257185887466,7.856376350233171,113.4,94.92,110.37,8.40302268225008,113.4,4.38954917662458,-0.546646332016909,0,0.24,1,0
zf_069,low_impact,clutch_B,7.088517995353588,7.226506599954461,11.21209036147246,108.9,101.83,111.24,7.088517995353588,108.9,0.13798860460087248,4.123572366118872,1,11.5,0,0
zf_070,low_impact,clutch_B,7.419604284363598,7.074085481462943,7.689451359547294,105.36,97.29,116.12,7.419604284363598,105.36,-0.3455188029006555,0.2698470751836961,0,0.83,0,0
zf_071,low_impact,clutch_B,4.927460101666104,5.737720894231881,4.655292038406174,115.67,102.63,107.54,4.927460101666104,115.67,0.810260792565777,-0.27216806325993037,0,1.27,0,0
zf_072,low_impact,clutch_B,6.3666487609902,7.805877654865453,7.741563190463838,112.05,97.65,112.7,6.3666487609902,112.05,1.4392288938752529,1.3749144294736375,0,0.86,1,0
zf_073,low_impact,clutch_B,9.342939634457634,10.913991057656899,9.639031182852204,110.06,97.92,109.88,9.342939634457634,110.06,1.5710514231992647,0.2960915483945694,1,7.09,0,0
zf_074,low_impact,clutch_B,12.000814463192985,10.804456920175378,6.693077291785262,109.75,93.98,104.54,12.000814463192985,109.75,-1.1963575430176068,-5.307737171407722,1,4.97,0,0
zf_075,low_impact,clutch_B,4.05844401719528,6.480521241890615,3.2282193782278155,107.81,95.14,109.94,4.05844401719528,107.81,2.422077224695335,-0.8302246389674641,0,0.09,0,0
zf_077,high_impact,clutch_B,7.009668565271738,1.174460703063186,3.839714406107148,104.63,64.92,89.17,7.009668565271738,104.63,-5.835207862208552,-3.16995415916459,1,4.16,0,1
zf_078,high_impact,clutch_B,5.76376328755633,2.464421451126824,5.129882383374259,105.56,72.31,91.99,5.76376328755633,105.56,-3.2993418364295057,-0.633880904182071,0,0.71,1,1
zf_079,high_impact,clutch_B,7.594433332435248,7.693733921917315,4.763076003510353,100.93,74.39,91.59,7.594433332435248,100.93,0.0993005894820671,-2.831357328924895,0,0.07,0,1
zf_080,high_impact,clutch_B,4.412645879804219,4.04678102775548,5.195288662916179,101.47,73.12,86.75,4.412645879804219,101.47,-0.3658648520487393,0.7826427831119602,0,0.56,1,1
zf_081,high_impact,clutch_B,5.313915663444693,10.29901714593419,6.3580623293963265,113.78,64.53,89.44,5.313915663444693,113.78,4.9851014824894975,1.0441466659516339,1,3.67,0,1
zf_082,high_impact,clutch_B,7.90733956004467,2.156955285459905,4.734098426276988,105.98,70.47,89.62,7.90733956004467,105.98,-5.750384274584764,-3.1732411337676814,1,8.67,0,1
zf_084,high_impact,clutch_B,4.546362593179918,2.026342127717058,8.968044849705525,107.22,68.85,87.32,4.546362593179918,107.22,-2.52002046546286,4.421682256525607,0,0.67,1,1
zf_085,high_impact,clutch_B,6.574270663272465,2.7568865325351264,9.408196770119313,115.77,70.16,91.65,6.574270663272465,115.77,-3.8173841307373384,2.8339261068468478,1,13.08,0,1
zf_086,high_impact,clutch_B,4.899680783091363,2.34480902588761,5.00941833535529,106.89,68.62,92.4,4.899680783091363,106.89,-2.5548717572037534,0.10973755226392701,1,5.25,0,1
zf_087,high_impact,clutch_B,5.393664400818036,4.342328760120146,3.8637752624525086,112.6,69.7,97.23,5.393664400818036,112.6,-1.0513356406978902,-1.5298891383655273,0,0.15,0,1
zf_088,high_impact,clutch_B,6.422723845503924,4.585394275142456,2.0861977085784043,108.98,71.06,92.75,6.422723845503924,108.98,-1.8373295703614678,-4.33652613692552,0,0.23,0,1
zf_089,high_impact,clutch_B,6.19287377906077,5.841001599023299,2.407180336285071,113.41,61.35,89.93,6.19287377906077,113.41,-0.35187218003747134,-3.785693442775699,1,4.46,1,1
zf_090,high_impact,clutch_B,9.730497017772304,6.715540435387867,18.446456297665495,108.49,68.38,91.38,9.730497017772304,108.49,-3.0149565823844373,8.715959279893191,1,8.45,1,1
zf_106,low_impact,clutch_C,5.6934920178299935,8.271023818113465,5.632085859320371,99.76,93.97,98.99,5.6934920178299935,99.76,2.577531800283471,-0.061406158509622166,0,0.11,1,0
zf_107,low_impact,clutch_C,5.673496551845707,7.602104577336309,4.601966046719049,99.12,94.47,105.63,5.673496551845707,99.12,1.9286080254906022,-1.071530505126658,1,4.41,1,0
zf_108,low_impact,clutch_C,6.3100955802135035,5.863722609372091,3.892448115026127,102.36,95.55,102.25,6.3100955802135035,102.36,-0.4463729708414128,-2.4176474651873763,0,0.68,1,0
zf_109,low_impact,clutch_C,6.483735337443188,11.801150667142092,9.006869747305661,119.32,88.03,100.86,6.483735337443188,119.32,5.317415329698904,2.5231344098624726,0,0.25,1,0
zf_110,low_impact,clutch_C,7.676092250994755,6.208829110554999,3.3331767748001426,114.51,92.87,113.28,7.676092250994755,114.51,-1.4672631404397567,-4.342915476194612,0,1.54,0,0
zf_111,low_impact,clutch_C,6.650043598707777,7.996212353858901,6.6672888275403395,107.43,88.43,100.68,6.650043598707777,107.43,1.3461687551511243,0.01724522883256263,1,6.6,0,0
zf_112,low_impact,clutch_C,6.496158230106371,10.060544921141595,7.097615952542973,100.22,87.1,106.35,6.496158230106371,100.22,3.5643866910352244,0.601457722436602,0,0.08,0,0
zf_113,low_impact,clutch_C,7.776097730479624,12.301686869024856,9.247152429066594,110.44,95.92,103.05,7.776097730479624,110.44,4.525589138545231,1.4710546985869692,1,2.91,0,0
zf_114,low_impact,clutch_C,4.048583495850621,10.252515663683935,4.159276564996451,105.66,87.58,97.08,4.048583495850621,105.66,6.203932167833314,0.11069306914582988,0,1.77,0,0
zf_115,low_impact,clutch_C,4.902727008670047,7.64225208846587,4.013229332888456,100.34,91.11,102.02,4.902727008670047,100.34,2.739525079795823,-0.8894976757815911,0,1.2,0,0
zf_116,low_impact,clutch_C,7.102309950957369,10.863295835590186,9.915023582305658,97.43,91.79,95.59,7.102309950957369,97.43,3.7609858846328175,2.812713631348289,0,0.66,1,0
zf_118,low_impact,clutch_C,4.78349542718482,10.594730085334875,6.331716662157464,104.17,91.41,99.14,4.78349542718482,104.17,5.811234658150055,1.5482212349726439,0,0.22,0,0
zf_119,low_impact,clutch_C,4.666055581769679,15.381448448718361,7.81827528536694,102.35,94.04,94.41,4.666055581769679,102.35,10.715392866948683,3.152219703597261,0,0.14,0,0
zf_120,low_impact,clutch_C,4.580818479453609,8.73540788442026,9.72469007738425,104.82,87.69,109.32,4.580818479453609,104.82,4.154589404966651,5.143871597930642,0,0.15,1,0
zf_121,high_impact,clutch_C,6.413435839535273,3.7383452163560604,5.411065005660674,101.69,60.42,83.98,6.413435839535273,101.69,-2.6750906231792126,-1.0023708338745987,1,8.73,0,1
zf_123,high_impact,clutch_C,5.973218298764796,5.0840054201368945,10.843708587261021,102.79,63.35,81.93,5.973218298764796,102.79,-0.8892128786279017,4.870490288496225,1,6.79,1,1
zf_124,high_impact,clutch_C,5.115404556672734,4.0767908292589325,4.151979034452684,98.78,58.43,83.97,5.115404556672734,98.78,-1.0386137274138019,-0.9634255222200503,0,0.49,0,1
zf_125,high_impact,clutch_C,4.399693854842492,2.8946706251643692,3.6775154474809226,100.03,67.16,85.65,4.399693854842492,100.03,-1.5050232296781227,-0.7221784073615694,0,0.92,1,1
zf_126,high_impact,clutch_C,4.20587168508809,1.068027005590104,2.951404602599333,103.2,55.53,71.68,4.20587168508809,103.2,-3.137844679497986,-1.2544670824887576,1,16.41,1,1
zf_127,high_impact,clutch_C,6.068058970392152,3.0419529108716623,4.401054651794604,96.56,71.08,84.13,6.068058970392152,96.56,-3.02610605952049,-1.6670043185975478,0,0.27,0,1
zf_129,high_impact,clutch_C,6.129660065585962,5.204363675737197,6.03545956015289,100.31,64.93,79.07,6.129660065585962,100.31,-0.9252963898487652,-0.09420050543307212,1,2.83,1,1
zf_130,high_impact,clutch_C,4.190860617071474,0.8513028862212645,1.655770181454793,106.64,56.44,89.33,4.190860617071474,106.64,-3.3395577308502093,-2.535090435616681,0,0.2,0,1
zf_131,high_impact,clutch_C,5.51461171345657,0.7964273630819957,1.4337306759031112,107.23,63.68,84.59,5.51461171345657,107.23,-4.718184350374574,-4.080881037553459,0,0.22,1,1
zf_132,high_impact,clutch_C,3.348011044680666,2.2991602227196957,2.098630716923223,107.51,61.56,85.42,3.348011044680666,107.51,-1.0488508219609702,-1.249380327757443,0,0.4,0,1
zf_133,high_impact,clutch_C,6.439996061170537,5.395439716952513,3.644073762420929,107.78,67.21,81.66,6.439996061170537,107.78,-1.044556344218024,-2.7959222987496077,1,7.37,1,1
zf_134,high_impact,clutch_C,6.706312949838104,8.98098546138631,5.3251585941453135,103.66,59.44,79.82,6.706312949838104,103.66,2.2746725115482054,-1.3811543556927903,1,10.12,1,1
zf_135,high_impact,clutch_C,5.709614626672991,2.6018434283011964,9.342439580744456,110.01,70.97,76.24,5.709614626672991,110.01,-3.1077711983717946,3.6328249540714648,1,9.62,0,1
